state,FIPS,class,n,normalized_n,freq,primary_org_cat,TotalPopulation
AE,NA,Arts & Cultural,1,NA,8.130081300813008e-4,NA,NA
AE,NA,Community,1,NA,8.130081300813008e-4,NA,NA
AE,NA,Education,1,NA,8.130081300813008e-4,NA,NA
AE,NA,Foundations,2,NA,0.0016260162601626016,NA,NA
AE,NA,Housing,1,NA,8.130081300813008e-4,NA,NA
AE,NA,Professional,3,NA,0.0024390243902439024,NA,NA
AE,NA,Religious,1,NA,8.130081300813008e-4,NA,NA
AE,NA,Social & Fraternal,18,NA,0.014634146341463415,NA,NA
AE,NA,Unions,1,NA,8.130081300813008e-4,NA,NA
AE,NA,Youth,1,NA,8.130081300813008e-4,NA,NA
AE,NA,NA,1,NA,8.130081300813008e-4,NA,NA
AK,02016,NA,2,3.8087983241287375e-4,1,NA,5251
AK,02020,Arts & Cultural,28,9.571177083867439e-5,0.040875912408759124,NA,292545
AK,02020,Community,19,6.494727306910048e-5,0.027737226277372264,NA,292545
AK,02020,Economic,25,8.545693824881643e-5,0.0364963503649635,NA,292545
AK,02020,Education,71,2.4269770462663864e-4,0.10364963503649635,NA,292545
AK,02020,Foundations,16,5.469244047924251e-5,0.02335766423357664,NA,292545
AK,02020,Healthcare,29,9.913004836862705e-5,0.042335766423357665,NA,292545
AK,02020,Hobby & Sports,59,2.0167837426720675e-4,0.08613138686131387,NA,292545
AK,02020,Housing,17,5.811071800919517e-5,0.024817518248175182,NA,292545
AK,02020,Political,19,6.494727306910048e-5,0.027737226277372264,NA,292545
AK,02020,Professional,49,1.6749559896768018e-4,0.07153284671532846,NA,292545
AK,02020,Religious,99,3.3840947546531303e-4,0.14452554744525548,NA,292545
AK,02020,Research & Think Tank,19,6.494727306910048e-5,0.027737226277372264,NA,292545
AK,02020,Social & Fraternal,54,1.8458698661744346e-4,0.07883211678832117,NA,292545
AK,02020,Unions,20,6.836555059905314e-5,0.029197080291970802,NA,292545
AK,02020,Youth,14,4.7855885419337195e-5,0.020437956204379562,NA,292545
AK,02020,NA,147,5.024867969030405e-4,0.2145985401459854,NA,292545
AK,02050,Religious,2,1.0802635843145727e-4,1,Religious,18514
AK,02060,NA,1,0.001177856301531213,1,NA,849
AK,02068,Research & Think Tank,1,4.572473708276177e-4,1,Research & Think Tank,2187
AK,02090,Arts & Cultural,2,2.0586933473324482e-5,0.012269938650306749,Religious,97149
AK,02090,Community,4,4.1173866946648964e-5,0.024539877300613498,Religious,97149
AK,02090,Economic,4,4.1173866946648964e-5,0.024539877300613498,Religious,97149
AK,02090,Education,19,1.9557586799658257e-4,0.1165644171779141,Religious,97149
AK,02090,Foundations,2,2.0586933473324482e-5,0.012269938650306749,Religious,97149
AK,02090,Healthcare,3,3.088040020998672e-5,0.018404907975460124,Religious,97149
AK,02090,Hobby & Sports,15,1.544020010499336e-4,0.09202453987730061,Religious,97149
AK,02090,Housing,2,2.0586933473324482e-5,0.012269938650306749,Religious,97149
AK,02090,Political,2,2.0586933473324482e-5,0.012269938650306749,Religious,97149
AK,02090,Professional,8,8.234773389329793e-5,0.049079754601226995,Religious,97149
AK,02090,Religious,41,4.2203213620315187e-4,0.25153374233128833,Religious,97149
AK,02090,Research & Think Tank,1,1.0293466736662241e-5,0.006134969325153374,Religious,97149
AK,02090,Social & Fraternal,26,2.6763013515321824e-4,0.15950920245398773,Religious,97149
AK,02090,Unions,8,8.234773389329793e-5,0.049079754601226995,Religious,97149
AK,02090,NA,26,2.6763013515321824e-4,0.15950920245398773,Religious,97149
AK,02100,NA,1,4.7664442326024784e-4,1,NA,2098
AK,02110,Arts & Cultural,7,2.1712158808933002e-4,0.0875,Hobby & Sports,32240
AK,02110,Community,1,3.1017369727047146e-5,0.0125,Hobby & Sports,32240
AK,02110,Economic,9,2.791563275434243e-4,0.1125,Hobby & Sports,32240
AK,02110,Education,8,2.4813895781637717e-4,0.1,Hobby & Sports,32240
AK,02110,Foundations,2,6.203473945409429e-5,0.025,Hobby & Sports,32240
AK,02110,Healthcare,2,6.203473945409429e-5,0.025,Hobby & Sports,32240
AK,02110,Hobby & Sports,11,3.411910669975186e-4,0.1375,Hobby & Sports,32240
AK,02110,Housing,2,6.203473945409429e-5,0.025,Hobby & Sports,32240
AK,02110,Political,5,1.5508684863523573e-4,0.0625,Hobby & Sports,32240
AK,02110,Professional,5,1.5508684863523573e-4,0.0625,Hobby & Sports,32240
AK,02110,Religious,3,9.305210918114144e-5,0.0375,Hobby & Sports,32240
AK,02110,Research & Think Tank,1,3.1017369727047146e-5,0.0125,Hobby & Sports,32240
AK,02110,Social & Fraternal,9,2.791563275434243e-4,0.1125,Hobby & Sports,32240
AK,02110,Unions,7,2.1712158808933002e-4,0.0875,Hobby & Sports,32240
AK,02110,Youth,1,3.1017369727047146e-5,0.0125,Hobby & Sports,32240
AK,02110,NA,7,2.1712158808933002e-4,0.0875,Hobby & Sports,32240
