FIPS,state,n,civic_org_sum,civic_opp_sum,volunteer_sum,membership_sum,take_action_sum,events_sum,TotalPopulation,Geolocation,POV150,SNGPNT,BROAD,NOHSDP,UNEMP,REMNRTY,civic_org_sum_normalized,civic_opp_sum_normalized,civic_opp_index,volunteer_sum_normalized,membership_sum_normalized,take_action_sum_normalized,events_sum_normalized
01001,AL,134,46,21.25,19,39,0,27,58239,POINT (-86.6464395 32.5322367),21.7,7.1,14.5,10.4,2.8,26.9,78.98487267981936,36.487577053177425,2,32.62418654166452,66.96543553289033,0,46.36068613815485
01003,AL,472,144,66,61,104,4,95,227131,POINT (-87.7460666 30.6592183),17.4,4,12.1,9,3.7,17.4,63.399535950618805,29.058120644033618,1,26.856747867970466,45.788553742113585,1.7610982208505224,41.826082745199905
01005,AL,71,32,15.25,10,29,0,22,25259,POINT (-85.4051035 31.8702531),38.9,11.9,35.4,24.3,8.6,55.4,126.68751732055901,60.374519973078904,3,39.58984916267469,114.8105625717566,0,87.09766815788431
01007,AL,43,18,8,4,16,0,13,22412,POINT (-87.1271475 33.0158929),28.3,7.1,25.4,19.5,9.7,26,80.31411743708728,35.69516330537212,2,17.84758165268606,71.39032661074424,0,58.0046403712297
01009,AL,77,21,9.75,8,16,0,15,58884,POINT (-86.56644 33.9773575),22.3,5.1,19,16.4,6,14.1,35.66333808844508,16.557978398206643,1,13.586033557502887,27.172067115005774,0,25.473812920317915
01011,AL,33,5,2.5,3,4,0,3,10386,POINT (-85.7172613 32.1017589),46,14.5,40.6,22.4,3,79.6,48.14172925091469,24.070864625457347,1,28.885037550548816,38.513383400731755,0,28.885037550548816
01013,AL,46,23,9.5,3,19,2,14,19181,POINT (-86.6819689 31.751667),30.8,5.4,23.7,14.4,6.5,49.1,119.91032792867942,49.52817892706324,3,15.640477555914707,99.05635785412647,10.426985037276472,72.9888952609353
01015,AL,240,81,38.25,30,62,4,57,116425,POINT (-85.8279089 33.7705162),28,6.5,18.4,14.8,7,28.6,69.57268627872021,32.85376852050676,2,25.76766158471119,53.253167275069785,3.435688211294825,48.95855701095125
01017,AL,79,22,10,9,15,0,16,34834,POINT (-85.3940321 32.9155039),27.5,7.1,22.9,17.2,3.2,45.2,63.15668599644026,28.707584543836482,1,25.836826089452835,43.06137681575472,0,45.93213527013837
01019,AL,55,22,10.25,12,18,0,11,24975,POINT (-85.6542417 34.0695153),27.4,4,23.3,20.2,4.7,9.1,88.08808808808809,41.04104104104104,2,48.048048048048045,72.07207207207207,0,44.04404404404404
01021,AL,67,24,11,7,18,0,19,44857,POINT (-86.7266071 32.8540514),26.5,4.5,21.7,18.2,6.4,20.7,53.50335510622645,24.52237109035379,1,15.605145239316048,40.12751632966984,0,42.35682279242928
01023,AL,38,13,7,5,10,1,12,12792,POINT (-88.2488894 31.9909539),32.3,7.5,36.3,19.4,6.1,43.6,101.6260162601626,54.72170106316448,3,39.08692933083177,78.17385866166354,7.817385866166354,93.80863039399625
01025,AL,40,10,5.5,4,9,0,9,23346,POINT (-87.8186244 31.6855211),31.9,7.6,32.2,17.8,12.2,48.5,42.833890173905594,23.558639595648078,1,17.13355606956224,38.55050115651503,0,38.55050115651503
01027,AL,25,8,3.75,3,5,2,5,14184,POINT (-85.8635254 33.2703999),28.5,6.4,26.6,17,6.1,19.6,56.40157924421884,26.43824027072758,1,21.150592216582066,35.250987027636775,14.10039481105471,35.250987027636775
01029,AL,21,5,2,2,4,0,2,15046,POINT (-85.5161261 33.6719637),27.3,4.5,27.2,16.9,4.5,7.6,33.23142363418849,13.292569453675396,1,13.292569453675396,26.585138907350792,0,13.292569453675396
01031,AL,96,31,15,17,27,0,16,53043,POINT (-85.9896022 31.402258),25.3,8.9,16.2,13.6,5.1,30.9,58.44314989725317,28.27894349867089,1,32.049469298493676,50.9020982976076,0,30.164206398582284
01033,AL,121,41,19.75,16,34,2,28,56789,POINT (-87.8014569 34.703112),22.4,6.8,25.5,13.2,3.8,22.2,72.19708042050397,34.77786190987691,2,28.17447040800155,59.87074961700329,3.5218088010001938,49.30532321400271
01035,AL,22,5,1.75,2,4,0,1,11778,POINT (-86.9887221 31.4309257),33.5,6.2,38.4,12.4,4.7,49.9,42.452029206996095,14.858210222448633,1,16.98081168279844,33.96162336559688,0,8.49040584139922
01037,AL,16,3,1.75,1,3,0,3,10442,POINT (-86.2434818 32.9314453),21.6,4.3,25,14.9,3.3,35.9,28.73012832790653,16.759241524612143,1,9.57670944263551,28.73012832790653,0,28.73012832790653
01039,AL,74,26,11.25,9,20,0,17,37490,POINT (-86.4487206 31.2439873),29,6.8,24.9,14.8,7,17.2,69.3518271539077,30.008002133902373,1,24.0064017071219,53.34755934915977,0,45.34542544678581
