ZCTA,class,n,freq,primary_org_cat
00000,Arts & Cultural,27,0.04047976011994003,NA
00000,Community,20,0.029985007496251874,NA
00000,Economic,9,0.013493253373313344,NA
00000,Education,65,0.09745127436281859,NA
00000,Foundations,41,0.06146926536731634,NA
00000,Healthcare,18,0.026986506746626688,NA
00000,Hobby & Sports,24,0.035982008995502246,NA
00000,Housing,7,0.010494752623688156,NA
00000,Political,16,0.0239880059970015,NA
00000,Professional,39,0.05847076461769116,NA
00000,Religious,77,0.11544227886056972,NA
00000,Research & Think Tank,82,0.12293853073463268,NA
00000,Social & Fraternal,58,0.08695652173913043,NA
00000,Unions,3,0.004497751124437781,NA
00000,Youth,10,0.014992503748125937,NA
00000,NA,171,0.2563718140929535,NA
00501,NA,1,1,NA
00602,NA,1,1,NA
00603,Hobby & Sports,1,1,Hobby & Sports
00604,NA,1,1,NA
00612,Religious,1,0.5,Religious
00612,NA,1,0.5,Religious
00623,Social & Fraternal,2,1,Social & Fraternal
00627,Unions,1,1,Unions
00637,NA,1,1,NA
00641,NA,1,1,NA
00646,Religious,1,0.125,NA
00646,NA,7,0.875,NA
00647,Social & Fraternal,1,1,Social & Fraternal
00650,NA,1,1,NA
00662,NA,1,1,NA
00674,NA,1,1,NA
00676,NA,1,1,NA
00677,Foundations,1,0.5,Foundations
00677,NA,1,0.5,Foundations
00680,Social & Fraternal,1,0.5,Social & Fraternal
00680,NA,1,0.5,Social & Fraternal
00681,NA,1,1,NA
00682,Professional,1,0.3333333333333333,NA
00682,NA,2,0.6666666666666666,NA
00683,NA,2,1,NA
00692,Religious,1,0.5,Religious
00692,NA,1,0.5,Religious
00693,NA,1,1,NA
00698,Religious,1,0.5,Religious
00698,NA,1,0.5,Religious
00703,NA,1,1,NA
00716,NA,2,1,NA
00717,NA,1,1,NA
00718,NA,2,1,NA
00725,Education,1,0.3333333333333333,NA
00725,NA,2,0.6666666666666666,NA
00730,Education,1,0.3333333333333333,Education
00730,Social & Fraternal,1,0.3333333333333333,Education
00730,Unions,1,0.3333333333333333,Education
00733,NA,1,1,NA
00765,NA,4,1,NA
00769,NA,1,1,NA
00772,NA,1,1,NA
00773,NA,2,1,NA
00778,NA,3,1,NA
00780,Education,1,1,Education
00784,NA,1,1,NA
00791,NA,4,1,NA
00801,NA,3,1,NA
00802,NA,28,1,NA
00820,NA,13,1,NA
00830,NA,2,1,NA
00840,NA,4,1,NA
00850,Education,1,0.3333333333333333,Education
00850,Religious,1,0.3333333333333333,Education
00850,Social & Fraternal,1,0.3333333333333333,Education
00901,NA,9,1,NA
00907,Economic,1,0.07692307692307693,NA
00907,Healthcare,1,0.07692307692307693,NA
00907,NA,11,0.8461538461538461,NA
00909,Arts & Cultural,1,0.2,Unions
00909,Education,1,0.2,Unions
00909,Unions,2,0.4,Unions
00909,NA,1,0.2,Unions
00911,Housing,1,0.25,Housing
00911,Political,1,0.25,Housing
00911,Professional,1,0.25,Housing
00911,Religious,1,0.25,Housing
00913,Religious,1,1,Religious
00917,Education,1,0.3333333333333333,NA
00917,NA,2,0.6666666666666666,NA
00918,NA,9,1,NA
00919,NA,2,1,NA
00920,NA,5,1,NA
00921,NA,2,1,NA
00923,NA,2,1,NA
00924,NA,1,1,NA
00925,Education,1,0.14285714285714285,NA
00925,NA,6,0.8571428571428571,NA
00926,Education,1,0.1,NA
00926,Hobby & Sports,1,0.1,NA
00926,Religious,1,0.1,NA
00926,Social & Fraternal,1,0.1,NA
00926,NA,6,0.6,NA
00927,NA,4,1,NA
00929,NA,1,1,NA
00931,NA,1,1,NA
00936,NA,1,1,NA
00953,NA,1,1,NA
00956,NA,2,1,NA
00959,Religious,1,0.5,Religious
00959,NA,1,0.5,Religious
00962,NA,2,1,NA
00965,NA,1,1,NA
00966,NA,2,1,NA
00968,NA,4,1,NA
00969,Religious,1,0.2,NA
00969,NA,4,0.8,NA
00976,NA,1,1,NA
00979,Foundations,1,0.3333333333333333,NA
00979,NA,2,0.6666666666666666,NA
00983,Hobby & Sports,1,0.14285714285714285,Unions
00983,Religious,1,0.14285714285714285,Unions
00983,Unions,5,0.7142857142857143,Unions
00984,NA,2,1,NA
01001,Arts & Cultural,1,0.058823529411764705,Hobby & Sports
01001,Community,1,0.058823529411764705,Hobby & Sports
01001,Education,2,0.11764705882352941,Hobby & Sports
01001,Foundations,1,0.058823529411764705,Hobby & Sports
01001,Hobby & Sports,3,0.17647058823529413,Hobby & Sports
01001,Professional,3,0.17647058823529413,Hobby & Sports
01001,Religious,2,0.11764705882352941,Hobby & Sports
01001,Social & Fraternal,3,0.17647058823529413,Hobby & Sports
01001,Youth,1,0.058823529411764705,Hobby & Sports
01002,Arts & Cultural,6,0.0967741935483871,NA
01002,Community,2,0.03225806451612903,NA
01002,Economic,4,0.06451612903225806,NA
01002,Education,4,0.06451612903225806,NA
01002,Foundations,3,0.04838709677419355,NA
01002,Healthcare,3,0.04838709677419355,NA
01002,Hobby & Sports,5,0.08064516129032258,NA
01002,Political,1,0.016129032258064516,NA
01002,Professional,1,0.016129032258064516,NA
01002,Religious,6,0.0967741935483871,NA
01002,Research & Think Tank,7,0.11290322580645161,NA
01002,Social & Fraternal,7,0.11290322580645161,NA
01002,Unions,1,0.016129032258064516,NA
01002,Youth,1,0.016129032258064516,NA
01002,NA,11,0.1774193548387097,NA
01003,Social & Fraternal,5,0.3125,NA
01003,NA,11,0.6875,NA
01004,Research & Think Tank,1,0.3333333333333333,NA
01004,NA,2,0.6666666666666666,NA
01005,Political,2,0.14285714285714285,NA
01005,Professional,1,0.07142857142857142,NA
01005,Religious,2,0.14285714285714285,NA
01005,Social & Fraternal,1,0.07142857142857142,NA
01005,Unions,2,0.14285714285714285,NA
01005,Youth,1,0.07142857142857142,NA
01005,NA,5,0.35714285714285715,NA
01007,Arts & Cultural,1,0.04,Hobby & Sports
01007,Education,2,0.08,Hobby & Sports
01007,Foundations,1,0.04,Hobby & Sports
01007,Hobby & Sports,4,0.16,Hobby & Sports
01007,Political,2,0.08,Hobby & Sports
01007,Professional,1,0.04,Hobby & Sports
01007,Religious,3,0.12,Hobby & Sports
01007,Social & Fraternal,3,0.12,Hobby & Sports
01007,Unions,1,0.04,Hobby & Sports
01007,Youth,3,0.12,Hobby & Sports
01007,NA,4,0.16,Hobby & Sports
01008,Research & Think Tank,1,1,Research & Think Tank
01010,Arts & Cultural,1,0.125,Hobby & Sports
01010,Hobby & Sports,2,0.25,Hobby & Sports
01010,Religious,1,0.125,Hobby & Sports
