Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,MOE,TotalPopulation,LocationID,CategoryID,MeasureID,DataValueTypeID,Short_Question_Text,Geolocation,Counties,States
2017-2021,AL,Alabama,Coosa County,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,12.8,4,"10,442",01037,SDOH,HCOST,Percent,Housing cost burden,POINT (-86.2434818 32.9314453),96,29
2017-2021,AL,Alabama,Lamar County,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,27.4,4,"13,929",01075,SDOH,POV150,Percent,Poverty,POINT (-88.0874309 33.7870852),100,29
2017-2021,AK,Alaska,Aleutians East Borough,5-year ACS,SDOH,Crowding among housing units,%,Percentage,4.6,2.3,"3,409",02013,SDOH,CROWD,Percent,Crowding,POINT (-161.9974772 55.2450437),107,51
2017-2021,AR,Arkansas,Dallas County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,2.3,2.2,"6,645",05039,SDOH,CROWD,Percent,Crowding,POINT (-92.6539989 33.9678233),"1,017",15
2017-2021,AR,Arkansas,Franklin County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,2.6,1.8,"17,159",05047,SDOH,CROWD,Percent,Crowding,POINT (-93.8876647 35.5085579),"1,020",15
2017-2021,AR,Arkansas,Hempstead County,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,17.8,0.5,"20,352",05057,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-93.6643553 33.735953),"1,024",15
2017-2021,AR,Arkansas,Izard County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,1.1,0.8,"13,653",05065,SDOH,CROWD,Percent,Crowding,POINT (-91.9136252 36.0948792),"1,027",15
2017-2021,AR,Arkansas,Johnson County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,2.8,1.1,"25,853",05071,SDOH,CROWD,Percent,Crowding,POINT (-93.4663223 35.5733586),"1,029",15
2017-2021,AR,Arkansas,Phillips County,5-year ACS,SDOH,Single-parent households,%,Percentage,11.9,2.7,"16,923",05107,SDOH,SNGPNT,Percent,Single-parent households,POINT (-90.8555931 34.4236874),994,15
2017-2021,AR,Arkansas,Sevier County,5-year ACS,SDOH,Single-parent households,%,Percentage,5.3,2.4,"16,074",05133,SDOH,SNGPNT,Percent,Single-parent households,POINT (-94.2432792 33.9948773),"1,003",15
2017-2021,AR,Arkansas,Union County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,4.2,1.4,"39,262",05139,SDOH,CROWD,Percent,Crowding,POINT (-92.5981447 33.1682186),27,15
2017-2021,CA,California,Colusa County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,4.7,1.4,"21,780",06011,SDOH,CROWD,Percent,Crowding,POINT (-122.2375629 39.1777385),72,8
2017-2021,CA,California,Humboldt County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,4.5,0.7,"137,014",06023,SDOH,CROWD,Percent,Crowding,POINT (-123.9261757 40.7066554),"1,189",8
2017-2021,CA,California,Mono County,5-year ACS,SDOH,Single-parent households,%,Percentage,3.5,2.1,"13,291",06051,SDOH,SNGPNT,Percent,Single-parent households,POINT (-118.8751668 37.9158363),"1,170",8
2017-2021,CA,California,Orange County,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,27.7,0.4,"3,182,923",06059,SDOH,HCOST,Percent,Housing cost burden,POINT (-117.7772068 33.6756872),"1,174",8
2017-2021,CA,California,Solano County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,5.6,0.5,"451,432",06095,SDOH,CROWD,Percent,Crowding,POINT (-121.939594 38.2672255),"1,338",8
2017-2021,CO,Colorado,Jackson County,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,19.8,10.9,"1,375",08057,SDOH,BROAD,Percent,No broadband,POINT (-106.3292476 40.6634319),"1,007",9
2017-2021,CO,Colorado,Logan County,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,23,3.7,"21,765",08075,SDOH,HCOST,Percent,Housing cost burden,POINT (-103.0904639 40.7280911),"1,014",9
2017-2021,CO,Colorado,Prowers County,5-year ACS,SDOH,Single-parent households,%,Percentage,5.9,2,"11,966",08099,SDOH,SNGPNT,Percent,Single-parent households,POINT (-102.3921613 37.9581814),"1,064",9
2017-2021,CO,Colorado,San Miguel County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,2.1,1.7,"8,084",08113,SDOH,CROWD,Percent,Crowding,POINT (-108.4272635 38.009319),"1,069",9
2017-2021,CO,Colorado,Yuma County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,4.2,3,"9,944",08125,SDOH,CROWD,Percent,Crowding,POINT (-102.4216491 40.0007703),"1,073",9
2017-2021,FL,Florida,Jefferson County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,1.3,0.9,"14,405",12065,SDOH,CROWD,Percent,Crowding,POINT (-83.9217606 30.396898),"1,111",30
2017-2021,GA,Georgia,Candler County,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,18.1,0.4,"10,885",13043,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-82.0712656 32.4039497),59,31
2017-2021,GA,Georgia,Chatham County,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,15.6,0.1,"294,815",13051,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-81.085184 31.9804037),"1,160",31
2017-2021,GA,Georgia,Elbert County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,4.2,2.1,"19,453",13105,SDOH,CROWD,Percent,Crowding,POINT (-82.8418919 34.1164153),"1,131",31
2017-2021,GA,Georgia,Jasper County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,2.2,1.5,"14,478",13159,SDOH,CROWD,Percent,Crowding,POINT (-83.6891515 33.3169807),"1,418",31
2017-2021,IL,Illinois,Cumberland County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,1.4,0.8,"10,528",17035,SDOH,CROWD,Percent,Crowding,POINT (-88.2406193 39.273121),226,34
2017-2021,IL,Illinois,Jersey County,5-year ACS,SDOH,Single-parent households,%,Percentage,4.4,1.9,"21,533",17083,SDOH,SNGPNT,Percent,Single-parent households,POINT (-90.361385 39.0801945),"1,713",34
2017-2021,IL,Illinois,Madison County,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,12.7,1.2,"266,112",17119,SDOH,BROAD,Percent,No broadband,POINT (-89.9002267 38.8271195),"1,749",34
2017-2021,IL,Illinois,Marshall County,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,19,2.5,"11,781",17123,SDOH,POV150,Percent,Poverty,POINT (-89.3423714 41.0311192),"1,750",34
2017-2021,IL,Illinois,Morgan County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,0.5,0.3,"33,189",17137,SDOH,CROWD,Percent,Crowding,POINT (-90.2050054 39.7176678),"1,755",34
2017-2021,IL,Illinois,Sangamon County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,1.7,0.3,"196,759",17167,SDOH,CROWD,Percent,Crowding,POINT (-89.662435 39.7568863),"1,798",34
2017-2021,IL,Illinois,Tazewell County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,1,0.3,"131,977",17179,SDOH,CROWD,Percent,Crowding,POINT (-89.5162598 40.5080743),"1,802",34
2017-2021,IL,Illinois,Wabash County,5-year ACS,SDOH,Single-parent households,%,Percentage,6.2,2.5,"11,414",17185,SDOH,SNGPNT,Percent,Single-parent households,POINT (-87.8391674 38.4458209),"1,805",34
2017-2021,IL,Illinois,White County,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,18.3,3,"13,959",17193,SDOH,HCOST,Percent,Housing cost burden,POINT (-88.1786227 38.0873259),"1,807",34
2017-2021,IL,Illinois,Woodford County,5-year ACS,SDOH,Crowding among housing units,%,Percentage,0.7,0.6,"38,571",17203,SDOH,CROWD,Percent,Crowding,POINT (-89.2105871 40.789787),"1,811",34
2017-2021,IN,Indiana,Jennings County,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,16.2,3.6,"27,619",18079,SDOH,BROAD,Percent,No broadband,POINT (-85.628103 38.9962289),"1,899",35
